UUID,Concat,Concat_Tokenized
9ae26275-c0ae-4665-914d-c913a32fb24e,Garrison Road PS1110 Garrison Rd School,"[""Garrison"", ""Road"", ""PS"", ""1110"", ""Garrison"", ""Rd"", ""School""]"
e8026ccd-de31-4bbf-bd3e-587e8f7d0ae5,Glendale PS24 Farnham Ave School,"[""Glendale"", ""PS"", ""24"", ""Farnham"", ""Ave"", ""School""]"
ab348200-de79-485f-99f7-352b05d8892f,Gracefield PS117 Bayview Dr School,"[""Gracefield"", ""PS"", ""117"", ""Bayview"", ""Dr"", ""School""]"
1da101f5-24d9-4b61-8ff3-5e449af06fd6,Grand Avenue PS14 Grand Ave School,"[""Grand"", ""Avenue"", ""PS"", ""14"", ""Grand"", ""Ave"", ""School""]"
bfc9a61d-c57c-4f4d-aa32-2fad9717b931,Grapeview PS106 First St Louth School,"[""Grapeview"", ""PS"", ""106"", ""First"", ""St"", ""Louth"", ""School""]"
cba5367f-a986-4ade-938c-102474fd9e05,Harriet Tubman PS84 Henry St. School,"[""Harriet"", ""Tubman"", ""PS"", ""84"", ""Henry"", ""St."", ""School""]"
6b5033e7-2a79-4001-a2c9-3cf26808499e,Heximer Avenue PS6727 Heximer Ave School,"[""Heximer"", ""Avenue"", ""PS"", ""6727"", ""Heximer"", ""Ave"", ""School""]"
939460a0-b7a4-4783-a1d0-8cd37bdaa72d,Jacob Beam PS4300 William St School,"[""Jacob"", ""Beam"", ""PS"", ""4300"", ""William"", ""St"", ""School""]"
0165fdbd-bfb1-44c0-9c66-36bb84df8429,John Marshall PS3910 St James Ave School,"[""John"", ""Marshall"", ""PS"", ""3910"", ""St"", ""James"", ""Ave"", ""School""]"
b80e170a-74c0-454d-8da2-01eb60c0e29b,Kate S. Durdan PS6855 Kalar Rd School,"[""Kate"", ""S."", ""Durdan"", ""PS"", ""6855"", ""Kalar"", ""Rd"", ""School""]"
6b921746-c55e-4fb9-9b4c-4b7ce9ea81fa,Lakeview PS33 Olive St School,"[""Lakeview"", ""PS"", ""33"", ""Olive"", ""St"", ""School""]"
f9852bab-099b-4812-b268-1d55ded44367,Lockview PS505 Bunting Rd School,"[""Lockview"", ""PS"", ""505"", ""Bunting"", ""Rd"", ""School""]"
